condition,age,time,act,bmalnorm,pernorm,bmal,per,stage,bact2,id,other,batch,group
control,pd10,zt10,22.345,6.08,8.84,0.014782151,0.002182201,postnatal,,,,new,controlpd10zt10
cort,pd10,zt1,24.935,5.96,5.94,0.016064279,0.016288528,postnatal,,,,new,cortpd10zt1
cort,pd10,zt1,21.025,8.73,7.61,0.002355093,0.005118724,postnatal,,,,new,cortpd10zt1
cort,pd10,zt1,20.365,8.135,7.645,0.003557304,0.004996037,postnatal,,,,new,cortpd10zt1
cort,pd10,zt1,21.44,8.685,6.53,0.00242971,0.010821168,postnatal,,,,new,cortpd10zt1
cort,pd10,zt1,21.7,7.475,6.175,0.005620834,0.013840117,postnatal,,,,new,cortpd10zt1
cort,pd10,zt1,21.265,8.26,5.895,0.003262062,0.0168046,postnatal,,,,new,cortpd10zt1
control,pd10,zt1,22.265,6.37,3.13,0.012090352,0.114228931,postnatal,,,,new,controlpd10zt1
control,pd10,zt1,21.145,6.93,5.6,0.008200912,0.020617311,postnatal,,,,new,controlpd10zt1
control,pd10,zt1,21.19,7.09,5.705,0.007340021,0.019170078,postnatal,,,,new,controlpd10zt1
control,pd10,zt1,22.62,8.015,6.15,0.003865846,0.014082038,postnatal,,,,new,controlpd10zt1
control,pd10,zt1,22.635,5.965,4.32,0.0160087,0.050066867,postnatal,,,,new,controlpd10zt1
control,pd10,zt1,20.53,9.2,7.47,0.001700294,0.005640348,postnatal,,,,new,controlpd10zt1
control,pd10,zt1,21.275,7.38,5.71,0.006003419,0.019103754,postnatal,,,,new,controlpd10zt1
control,pd10,zt1,21.045,6.95,5.525,0.008088007,0.021717472,postnatal,,,,new,controlpd10zt1
control,pd10,zt1,23.245,5.805,4.205,0.017886315,0.054221168,postnatal,,,,new,controlpd10zt1
control,pd10,zt1,21.49,5.985,4.46,0.015788304,0.045436641,postnatal,,,,new,controlpd10zt1
